date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:52:46	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2009%20Jul%202020%2009:52:43%20GMT	http://www.nchmf.gov.vn/robots.txt		(from )
16:52:47	232124/232124	---M--	200	added ('OK')	text/html	date:Thu,%2009%20Jul%202020%2009:52:45%20GMT	http://www.nchmf.gov.vn/kttvsite/	C:/My%20Web%20Sites/kttvtaynguyen/www.nchmf.gov.vn/kttvsite/index.html	(from )
16:52:49	1150/1150	---M--	200	added ('OK')	image/x-icon	etag:%22a3398a9587fd51:0%22	http://www.nchmf.gov.vn/kttvsite/favicon.ico	C:/My%20Web%20Sites/kttvtaynguyen/www.nchmf.gov.vn/kttvsite/favicon.ico	(from http://www.nchmf.gov.vn/kttvsite/)
16:52:49	248924/248924	---M-Z	200	added ('OK')	text/css	etag:%220447639977ad51:0%22	http://www.nchmf.gov.vn/kttvsite/css/uikit.min.css	C:/My%20Web%20Sites/kttvtaynguyen/www.nchmf.gov.vn/kttvsite/css/uikit.min.css	(from http://www.nchmf.gov.vn/kttvsite/)
16:52:50	24926/24926	---M-Z	200	added ('OK')	text/css	etag:%22803f5b1e1345d61:0%22	http://www.nchmf.gov.vn/kttvsite/css/style.css	C:/My%20Web%20Sites/kttvtaynguyen/www.nchmf.gov.vn/kttvsite/css/style.css	(from http://www.nchmf.gov.vn/kttvsite/)
16:52:50	2667/2667	---M--	200	added ('OK')	text/css	etag:%2201d15f62ead41:0%22	http://www.nchmf.gov.vn/kttvsite/css/responsive.css	C:/My%20Web%20Sites/kttvtaynguyen/www.nchmf.gov.vn/kttvsite/css/responsive.css	(from http://www.nchmf.gov.vn/kttvsite/)
16:52:50	10262/10262	---M-Z	200	added ('OK')	text/css	etag:%2207a127fb3abd41:0%22	http://www.nchmf.gov.vn/kttvsite/css/jquery.datetimepicker.css	C:/My%20Web%20Sites/kttvtaynguyen/www.nchmf.gov.vn/kttvsite/css/jquery.datetimepicker.css	(from http://www.nchmf.gov.vn/kttvsite/)
16:52:51	11457/11457	---M-Z	200	added ('OK')	application/javascript	etag:%22026275f14a4d51:0%22	http://www.nchmf.gov.vn/kttvSite/js/Paging.js	C:/My%20Web%20Sites/kttvtaynguyen/www.nchmf.gov.vn/kttvSite/js/Paging.js	(from http://www.nchmf.gov.vn/kttvsite/)
16:52:54	64221/64221	---M-Z	200	added ('OK')	application/javascript	etag:%2280c3a6b023a7d41:0%22	http://www.nchmf.gov.vn/kttvSite/js/uikit-icons.min.js	C:/My%20Web%20Sites/kttvtaynguyen/www.nchmf.gov.vn/kttvSite/js/uikit-icons.min.js	(from http://www.nchmf.gov.vn/kttvsite/)
16:52:54	14106/14106	---M-Z	200	added ('OK')	text/css	etag:W/%22371a-BHwra6tEHm/m0+qAT9uCUksxKCk%22	https://unpkg.com/leaflet@1.4.0/dist/leaflet.css	C:/My%20Web%20Sites/kttvtaynguyen/unpkg.com/leaflet@1.4.0/dist/leaflet.css	(from http://www.nchmf.gov.vn/kttvsite/)
16:52:54	61029/61029	---M-Z	200	added ('OK')	application/javascript	etag:%228010ab7fb3abd41:0%22	http://www.nchmf.gov.vn/kttvSite/js/jquery.datetimepicker.js	C:/My%20Web%20Sites/kttvtaynguyen/www.nchmf.gov.vn/kttvSite/js/jquery.datetimepicker.js	(from http://www.nchmf.gov.vn/kttvsite/)
16:52:54	93063/93063	---M-Z	200	added ('OK')	application/javascript	etag:%228073555dfea7d41:0%22	http://www.nchmf.gov.vn/kttvSite/js/jquery.min.js	C:/My%20Web%20Sites/kttvtaynguyen/www.nchmf.gov.vn/kttvSite/js/jquery.min.js	(from http://www.nchmf.gov.vn/kttvsite/)
16:52:55	131786/131786	---M-Z	200	added ('OK')	application/javascript	etag:%2280c3a6b023a7d41:0%22	http://www.nchmf.gov.vn/kttvSite/js/uikit.min.js	C:/My%20Web%20Sites/kttvtaynguyen/www.nchmf.gov.vn/kttvSite/js/uikit.min.js	(from http://www.nchmf.gov.vn/kttvsite/)
16:52:57	51458/51458	---M-Z	200	added ('OK')	application/javascript	etag:%2280843850fea7d41:0%22	http://www.nchmf.gov.vn/kttvSite/js/modernizr-2.6.2.js	C:/My%20Web%20Sites/kttvtaynguyen/www.nchmf.gov.vn/kttvSite/js/modernizr-2.6.2.js	(from http://www.nchmf.gov.vn/kttvsite/)
16:53:00	15269/15269	---M--	200	added ('OK')	image/jpeg	etag:%22d28c0999a7d41:0%22	http://nchmf.gov.vn/Kttvsite//images/vi.jpg	C:/My%20Web%20Sites/kttvtaynguyen/nchmf.gov.vn/Kttvsite/images/vi.jpg	(from http://www.nchmf.gov.vn/kttvsite/)
16:53:00	3087/3087	---M--	200	added ('OK')	image/jpeg	etag:%22a6296c999a7d41:0%22	http://nchmf.gov.vn/Kttvsite//images/en.jpg	C:/My%20Web%20Sites/kttvtaynguyen/nchmf.gov.vn/Kttvsite/images/en.jpg	(from http://www.nchmf.gov.vn/kttvsite/)
